,BoroughName,Year,femalepop,rent price,weekly income,pub count,sexual crime,unemployment
0,Brent,2017,172035,1561,471,70,0.1813461667625463,6.6
1,Brent,2017,172035,1558,471,70,0.1813461667625463,6.6
2,Brent,2018,174420,1575,479.9,65,0.1828925969012429,5.9
3,Brent,2019,175791,1498,524,65,0.187666943,4.1
4,Brent,2020,174877,1349,531.8,55,0.1709361954486771,5.9
5,Brent,2021,172954,1482,555.7,60,0.1933688628967584,7.6
6,Brent,2022,174856,1578,556.6,70,0.23279307770017899,5.4
7,Brent,2023,178703,2156,634.6,70,0.2268093854928003,7.3
8,Brent,2024,180473,2006,646.2,70,0.2331603281809521,5.5
9,Camden,2017,112745,1939,614.3,245,0.2837780407890939,5.3
10,Camden,2017,112745,2053,614.3,245,0.2837780407890939,5.3
11,Camden,2018,112981,2416,634.4,240,0.2845146043181964,5
12,Camden,2019,112990,2218,662,235,0.2790877606661251,4.8
13,Camden,2020,112281,2534,623,245,0.2435185874990676,4
14,Camden,2021,111280,2076,695,240,0.33275188654203347,5.3
15,Camden,2022,115471,2383,699.2,240,0.372207295,3.8
16,Camden,2023,115778,2202,732.1,235,0.3811540497617775,4
17,Camden,2024,115907,2615,766.6,235,0.4093241081758791,6.3
18,Greenwich,2017,144020,1435,553,75,0.2255857438309194,6.1
19,Greenwich,2017,144020,1370,553,75,0.2255857438309194,6.1
20,Greenwich,2018,145791,1385,566,65,0.2260535459962966,5.5
21,Greenwich,2019,147386,1479,579.5,75,0.2342082892385616,4.3
22,Greenwich,2020,147838,1423,573.1,65,0.1938387705281835,4.9
23,Greenwich,2021,148738,1478,618.3,65,0.2756124433146699,6.6
24,Greenwich,2022,150103,1557,657.4,75,0.2561725967145596,5.9
25,Greenwich,2023,152034,1740,719.4,70,0.2516699278051401,4.7
26,Greenwich,2024,153409,1866,749.6,70,0.2817766619481305,4.1
27,Hackney,2017,136757,1825,558.1,235,0.2760219609264662,5.7
28,Hackney,2017,136757,1757,558.1,235,0.2760219609264662,5.7
29,Hackney,2018,137823,1841,555.4,225,0.2719657413320299,5.7
30,Hackney,2019,137858,1831,574.9,200,0.2618263895419909,5
31,Hackney,2020,137274,1701,574.9,190,0.2604423349584113,5.4
32,Hackney,2021,135851,1746,576.8,200,0.3291269676486637,6.1
33,Hackney,2022,137030,1997,632.8,205,0.3601793639759514,4.3
34,Hackney,2023,138971,2191,667.7,205,0.3021728564377502,4.3
35,Hackney,2024,139603,2478,762.5,205,0.3343854729755046,4.4
36,Hammersmith and Fulham,2017,97539,1737,651.1,95,0.2082889409759205,5.8
37,Hammersmith and Fulham,2017,97539,1975,651.1,95,0.2082889409759205,5.8
38,Hammersmith and Fulham,2018,98619,2055,682,90,0.2221787269158933,5.6
39,Hammersmith and Fulham,2019,98936,2115,728,90,0.2237990687413147,5.8
40,Hammersmith and Fulham,2020,98125,2271,713.1,100,0.2224545040336617,4.5
41,Hammersmith and Fulham,2021,97403,2019,727,100,0.2809448475260477,5.8
42,Hammersmith and Fulham,2022,99119,2270,732.6,100,0.3099740611983496,4.7
43,Hammersmith and Fulham,2023,100386,2418,790.1,95,0.2826983288794997,3.9
44,Hammersmith and Fulham,2024,101423,2516,798.5,95,0.3206368218266217,5.7
45,Islington,2017,114140,1857,646.1,255,0.2785112961834462,6.3
46,Islington,2017,114140,1856,646.1,255,0.2785112961834462,6.3
47,Islington,2018,114695,1897,687.7,235,0.2524237648620686,5
48,Islington,2019,115007,2032,699.1,230,0.2716289629449434,5.1
49,Islington,2020,115009,1823,690.1,250,0.2090327484639247,4.4
50,Islington,2021,113466,1839,670.7,235,0.2662980879981562,6.2
51,Islington,2022,115510,2099,701.4,230,0.2907598432899989,3.9
52,Islington,2023,117256,2352,766.6,225,0.3206901359672192,4.1
53,Islington,2024,117783,2540,811.2,225,0.316557859,5.9
54,Kensington and Chelsea,2017,77842,2860,784.4,90,0.2178401748067159,6
55,Kensington and Chelsea,2017,77842,3874,784.4,90,0.2178401748067159,6
56,Kensington and Chelsea,2018,77397,3209,670.6,100,0.2552687056731605,6.2
57,Kensington and Chelsea,2019,77095,3034,763.7,100,0.2493103095943589,5.7
58,Kensington and Chelsea,2020,76536,3506,802,110,0.2547040876899915,4
59,Kensington and Chelsea,2021,76788,2693,763.6,110,0.29112888691722133,6
60,Kensington and Chelsea,2022,78177,3082,719.1,105,0.3580800349879717,4.1
61,Kensington and Chelsea,2023,78390,3238,855.9,105,0.3392514624673195,4.7
62,Kensington and Chelsea,2024,77455,3464,810.1,105,0.3902628046333316,5.7
63,Lambeth,2017,167364,1647,594.6,150,0.2640368918212727,5
64,Lambeth,2017,167364,1659,594.6,150,0.2640368918212727,5
65,Lambeth,2018,168597,1739,617.1,160,0.2809168103173069,5.5
66,Lambeth,2019,169443,1821,634.8,155,0.2649364364987106,5.6
67,Lambeth,2020,167684,1688,670.8,155,0.2614222476169399,5.4
68,Lambeth,2021,163593,1752,681.2,150,0.3456188560582443,6.2
69,Lambeth,2022,163871,1956,703,145,0.3166937923609416,3.5
70,Lambeth,2023,164879,2009,774.1,150,0.3156197252916176,3.9
71,Lambeth,2024,163730,2408,797.4,150,0.3754890824182748,4.4
72,Southwark,2017,157729,1616,587.1,185,0.2564685996619414,6.2
73,Southwark,2017,157729,1628,587.1,185,0.2564685996619414,6.2
74,Southwark,2018,159502,1674,589.4,175,0.2731149272767088,6.1
75,Southwark,2019,160837,1695,628,180,0.2402500391885869,5
76,Southwark,2020,160846,1721,620.9,190,0.233612664,5.1
77,Southwark,2021,158510,1754,637.8,180,0.2829555160026328,6.3
78,Southwark,2022,160187,1970,672.3,180,0.30194583725313223,4.3
79,Southwark,2023,162579,2112,731.5,175,0.2973029012552421,4.1
80,Southwark,2024,163114,2204,788.6,175,0.3373720559364128,4.7
81,Tower Hamlets,2017,145190,1719,592,160,0.2221268303318947,8.1
82,Tower Hamlets,2017,145190,1774,592,160,0.2221268303318947,8.1
83,Tower Hamlets,2018,148776,1769,627.6,150,0.2276287285452413,7.1
84,Tower Hamlets,2019,151241,1830,688.9,135,0.2160188287124742,6.1
85,Tower Hamlets,2020,152413,1647,665,145,0.2128561183910281,4.7
86,Tower Hamlets,2021,155567,1652,685.2,145,0.2814063924020262,6.8
87,Tower Hamlets,2022,162187,1944,725.2,140,0.295492811,5.2
88,Tower Hamlets,2023,164465,2178,785.8,140,0.282248141,5.2
89,Tower Hamlets,2024,165717,2232,766.5,140,0.3103475289707901,5.9
90,Westminster,2017,105602,2778,730.8,425,0.41100641930257087,5.9
91,Westminster,2017,105602,2861,730.8,425,0.41100641930257087,5.9
92,Westminster,2018,105902,2858,757.1,440,0.4660072045285597,5.7
93,Westminster,2019,105758,3023,703.9,435,0.4716551111964098,4.5
94,Westminster,2020,105069,2645,701.1,425,0.3837100727541522,4.1
95,Westminster,2021,106200,2384,771.1,430,0.5919546654095313,5.6
96,Westminster,2022,108601,3160,738.5,425,0.6888546000869417,4.6
97,Westminster,2023,109240,2995,767.5,435,0.6593406593406581,3.7
98,Westminster,2024,108896,3314,843.3,435,0.7085849254271501,5.5
